"Idx","Path","Branch","LastSHA","LastSubject","LastDate","AheadOfMain","BehindMain","DirtyLines","UntrackedCount","Remote","MergeRef","UnpushedVsOrigin","SubjectsUnique"
"1","D:/Star","feature/ai-ide-compat","245cf56","fix(adr): 琛?5 浠?ADR 鍒?architecture/2026-08-26-upgrade/adr/ 淇?P0-1 鏂摼","2026-08-26 23:28:13 +0900","3","0","29","37","","","<n/a>","fix(adr): 琛?5 浠?ADR 鍒?architecture/2026-08-26-upgrade/adr/ 淇?P0-1 鏂摼 | chore: 鍒犻櫎 11 浠藉凡鍚堝苟 commit 鐨勫簾寮冭剼鎵嬫灦(_commit_*.txt + _sow_fe_*.md) | docs(upgrade): Phase C 54 浠?spec 鑽夋 (Mavis 鍗曞共绗?1 杞?"
"2","D:/Star-worktrees/wt-1","feat/track-b-agent","be30da7","feat(domain-worktree): implement Worktree aggregate + 17-state machine + InMemoryWorktreeService","2026-08-26 08:48:19 +0900","0","57","0","0","","","<n/a>",""
"3","D:/Star-worktrees/wt-10","feat/track-d-permission","56d7976","domain-permission: rewrite to rules-based RBAC single-file","2026-08-26 09:21:13 +0900","0","41","0","0","","","<n/a>",""
"4","D:/Star-worktrees/wt-11","feat/track-d-workflow","09e35ca","feat(domain-workflow): single-file lib.rs rewrite per task spec","2026-08-26 09:21:13 +0900","0","41","0","0","","","<n/a>",""
"5","D:/Star-worktrees/wt-12","feat/track-d-development","99cfb17","feat(domain-development): single-file ChangeSet 5 鐘舵€佹満 + INV-DEV-01~05","2026-08-26 09:21:39 +0900","0","41","1","1","","","<n/a>",""
"6","D:/Star-worktrees/wt-13","feat/track-e-audit","6a6a696","feat(domain-audit): v0.2 single-file rewrite (9/9 tests)","2026-08-26 11:14:26 +0900","0","23","0","0","","","<n/a>",""
"7","D:/Star-worktrees/wt-14","feat/track-e-automation","bdd6e81","feat(domain-automation): v0.2 single-file rewrite (9/9 tests)","2026-08-26 11:18:26 +0900","0","23","0","0","","","<n/a>",""
"8","D:/Star-worktrees/wt-15","feat/track-e-workspace","c9bb5d0","feat(domain-workspace): v0.2 single-file rewrite (8/8 tests)","2026-08-26 11:09:35 +0900","0","23","1","1","","","<n/a>",""
"9","D:/Star-worktrees/wt-16","feat/track-e-scmlocal","c591c9a","feat(domain-scm): v0.2 single-file rewrite (8/8 tests)","2026-08-26 11:22:32 +0900","0","23","0","0","","","<n/a>",""
"10","D:/Star-worktrees/wt-17","feat/track-e-board","0b317c0","refactor(domain-board): v0.2 single-file rewrite","2026-08-26 09:36:12 +0900","0","33","0","0","","","<n/a>",""
"11","D:/Star-worktrees/wt-18","feat/track-e-collab","8b420dd","refactor(domain-collaboration): v0.2 鍗曟枃浠跺疄鐜?- 鍒犻櫎 9 涓垎妯″潡","2026-08-26 09:34:39 +0900","0","33","0","0","","","<n/a>",""
"12","D:/Star-worktrees/wt-19","feat/track-e-runtime","3acd0ea","feat(domain-local-runtime): v0.2 single-file impl with 5 invariants + 12 tests","2026-08-26 09:35:46 +0900","0","33","1","1","","","<n/a>",""
"13","D:/Star-worktrees/wt-2","feat/track-b-context","21ab948","feat(domain-feedback): implement Feedback aggregate + 6-state machine + 11 Target types + InMemoryFeedbackService","2026-08-26 08:15:32 +0900","0","57","0","0","","","<n/a>",""
"14","D:/Star-worktrees/wt-20","feat/track-e-planning","75b4288","锘縟omain-planning: 閲嶅啓涓?v0.2 鍗曟枃浠跺疄鐜?","2026-08-26 09:34:27 +0900","0","33","0","0","","","<n/a>",""
"15","D:/Star-worktrees/wt-21","feat/track-e-relation","891e4db","feat(domain-relation): v0.2 single-file rewrite (16/16 tests)","2026-08-26 09:36:01 +0900","0","33","0","0","","","<n/a>",""
"16","D:/Star-worktrees/wt-3","feat/track-b-validation-notif","37b4406","feat(domain-validation): implement ValidationResult + 7 kinds + AcceptanceCoverage + InMemoryValidationService","2026-08-26 08:22:36 +0900","0","57","0","0","","","<n/a>",""
"17","D:/Star-worktrees/wt-4","feat/track-c-integration-search","74a2d59","feat(domain-integration): implement Integration aggregate + 4 relation types + Loop guard + InMemoryIntegrationService","2026-08-26 08:34:11 +0900","0","57","0","0","","","<n/a>",""
"18","D:/Star-worktrees/wt-9","feat/track-d-foundational","2bab825","feat(track-d): implement 5 foundational domain crates (tenant/project/identity/work-item/comment)","2026-08-26 09:18:49 +0900","0","41","0","0","","","<n/a>",""
"19","D:/Star-worktrees/wt-fe-a","feat/frontend-internal-a","d72503f","docs(frontend-internal-01): 鏋舵瀯涓庢ā鍧楀垝鍒?v0.1","2026-08-26 13:17:19 +0900","0","11","1","1","","","<n/a>",""
"20","D:/Star-worktrees/wt-fe-b","feat/frontend-internal-b","9ad38c7","docs(frontend-internal-02): 缁勪欢濂戠害涓庣姸鎬佹満浜や簰 v0.1","2026-08-26 13:18:22 +0900","0","11","1","1","","","<n/a>",""
"21","D:/Star-worktrees/wt-fe-c","feat/frontend-internal-c","e18e17f","docs(frontend-internal-03): 鏁版嵁娴佷笌 Realtime v0.1","2026-08-26 13:19:38 +0900","0","11","1","1","","","<n/a>",""
